PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",26,1756307722171,1756307722274,k,75, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",27,1756307723255,1756307723338, ,32, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",28,1756307724605,1756307724736,l,76, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",29,1756307724895,1756307724986,a,65, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",30,1756307725175,1756307725319,d,68, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",31,1756307725506,1756307725584,y,89, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",32,1756307725792,1756307725899, ,32, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",33,1756307726973,1756307727100,Backspace,8, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",34,1756307727205,1756307727309,Backspace,8, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",35,1756307727358,1756307727486,Backspace,8, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",36,1756307727595,1756307727667,Backspace,8, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",37,1756307728017,1756307728120,Backspace,8, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",38,1756307729298,1756307729377,Backspace,8, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",39,1756307729491,1756307729563,Backspace,8, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",40,1756307729657,1756307729725,Backspace,8, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",41,1756307729813,1756307729881,Backspace,8, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",42,1756307729969,1756307730104,Backspace,8, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",43,1756307732597,1756307732704,p,80, monthly, physical-keyboard,21,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",44,1756307732913,1756307733017,r,82, monthly, physical-keyboard,22,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",45,1756307733160,1756307733223,e,69, monthly, physical-keyboard,23,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",46,1756307733406,1756307733545,s,83, monthly, physical-keyboard,24,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",47,1756307734606,1756307734773,Backspace,8, monthly, physical-keyboard,24,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",48,1756307735561,1756307735637,g,71, monthly, physical-keyboard,24,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",49,1756307735858,1756307735945,n,78, monthly, physical-keyboard,25,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",50,1756307736209,1756307736340,a,65, monthly, physical-keyboard,26,1,0
664fa86722f5339adebd32ec,prompt-to-image,1,6,3,create an image of a pregnant lady in a supermarket shopping,"[0,51]","[52,60]",51,1756307736496,1756307736591,n,78, monthly, physical-keyboard,27,1,0
