filename,PARTICIPANT_ID,span_index,mean_dwell_ms,var_dwell_ms,median_dwell_ms,min_dwell_ms,max_dwell_ms,mean_flight_ms,var_flight_ms,median_flight_ms,min_flight_ms,max_flight_ms,label
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,3,68.625,102.234375,70.0,48.0,87.0,240.06666666666666,76146.46222222224,124.0,33.0,1055.0,0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,4,72.71428571428571,119.91836734693878,69.0,59.0,89.0,76.16666666666667,772.138888888889,91.0,21.0,100.0,0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,5,79.0,341.6,74.0,56.0,102.0,81.75,2349.6875,71.5,25.0,159.0,0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,6,86.5,20.25,86.5,82.0,91.0,42.0,0.0,42.0,42.0,42.0,0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,7,44.0,0.0,44.0,44.0,44.0,,,,,,0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,8,83.36363636363636,201.50413223140495,82.0,62.0,104.0,214.8,93070.16000000002,94.0,64.0,1104.0,0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,9,71.0,400.0,71.0,51.0,91.0,68.0,0.0,68.0,68.0,68.0,0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,10,85.0,81.0,85.0,76.0,94.0,177.0,0.0,177.0,177.0,177.0,0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,11,74.0,187.71428571428572,73.0,58.0,102.0,162.5,3222.25,181.5,79.0,221.0,0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,14,63.666666666666664,142.88888888888889,66.0,47.0,82.0,382.8,105339.76000000001,183.0,87.0,936.0,1
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,15,70.5,56.25,70.5,63.0,78.0,77.0,0.0,77.0,77.0,77.0,1
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,16,65.75,172.6875,62.5,51.0,87.0,436.0,104544.66666666667,413.0,52.0,843.0,1
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,17,81.33333333333333,468.8888888888889,81.0,51.0,116.0,109.2,347.76,111.0,78.0,132.0,1
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,18,64.5,2.25,64.5,63.0,66.0,178.0,0.0,178.0,178.0,178.0,1
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,19,55.6,86.64,54.0,40.0,67.0,299.25,126819.1875,106.0,70.0,915.0,1
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,20,72.25,212.1875,66.0,60.0,97.0,71.33333333333333,57.555555555555564,74.0,61.0,79.0,1
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,21,81.4,237.84,79.0,63.0,102.0,65.75,650.1875,61.5,38.0,102.0,1
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,22,81.0,298.3333333333333,74.5,66.0,117.0,69.0,782.8,67.0,27.0,108.0,1
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,23,61.0,131.6,63.0,40.0,75.0,99.0,969.5,107.5,49.0,132.0,1
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,24,70.625,166.734375,72.0,50.0,91.0,165.42857142857142,11741.38775510204,134.0,101.0,428.0,1
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,2,67.57142857142857,53.9591836734694,67.0,57.0,81.0,175.16666666666666,13196.805555555555,121.5,65.0,389.0,1
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,3,76.0,100.0,76.0,66.0,86.0,80.0,0.0,80.0,80.0,80.0,1
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,4,78.82608695652173,431.7088846880907,75.0,48.0,133.0,256.5,130195.97727272728,127.0,21.0,1788.0,1
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,5,75.8,452.56000000000006,70.0,51.0,111.0,60.0,2015.5,57.0,1.0,125.0,1
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,8,81.0,764.6666666666666,70.0,54.0,119.0,78.0,576.0,78.0,54.0,102.0,0
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,9,89.0,25.0,89.0,84.0,94.0,344.0,0.0,344.0,344.0,344.0,0
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,10,62.0,973.1428571428571,76.0,3.0,103.0,102.16666666666667,2997.138888888889,108.5,0.0,181.0,0
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,11,59.0,170.66666666666666,59.0,43.0,75.0,153.0,256.0,153.0,137.0,169.0,0
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,12,63.666666666666664,141.55555555555554,62.0,50.0,79.0,60.5,306.25,60.5,43.0,78.0,0
