PARTICIPANT_ID,files,MEAN_DWELL_CONFIDENT_MS,MEAN_FLIGHT_CONFIDENT_MS,MEAN_DWELL_UNCONFIDENT_MS,MEAN_FLIGHT_UNCONFIDENT_MS
5962a9280b835400010a7617,8,303.12044725183534,151.3353786163682,153.64953267470253,162.95164790090098
5accb373436f5500010037ee,8,634.3663447060612,375.30178135169695,171.2940310846561,316.5891960470085
5adae3ebdec767000128c131,8,192.13110005100933,352.64411936828606,130.0191079695767,358.203766025641
5bf368846edd7200017136c7,8,129.4329278649591,86.52519690957192,133.65684523809523,54.595238095238095
5c4f5967aac8be0001716a65,8,182.31375747801604,190.0161436289154,199.92900264550264,113.41627070393376
5caa534a19731a00190bb935,8,83.42796631609131,216.88543096066942,78.54177802484806,225.49173929883676
5cab22cd68194f001511b2d6,8,169.56213531309925,227.94161622412133,101.62184258389028,166.67141203703704
5ced66139b5b490001b688ed,8,102.33178278318903,166.81481434240362,102.93093998015873,275.6123511904762
5d3b0da8a884020001881773,8,72.84392288976807,114.80052335233336,69.70989422284065,105.13164457070707
5d40a12f4994c40001e4b80c,8,81.87794115669773,200.32544696540234,80.10202959656084,198.83037593193842
5dafea4de40355001651fa2f,8,86.84450872189153,309.30134072442104,87.41251765514376,344.5081966066341
5ea4cebb8944a8495280db42,8,91.71316001768805,121.76182806776556,84.69771253052502,86.98292906746032
5f29eff59714081a3594a331,8,166.16516448270661,235.1301528840703,160.8794673035298,356.5252096861472
5f600669b846780f0fe45709,8,203.12776957004226,263.2035859228857,532.6800427746856,316.9824642949643
5faeb56b25a37f01d47d326c,8,91.25210466762462,271.78654219683824,119.79073082010581,206.9178415577478
5fb551ccab996500099ab1aa,8,287.7630548535027,107.66845017684861,147.99930680816098,115.64587096930848
5fbfe145e52a44000a9c2966,8,124.63790528572159,283.8058535431582,123.82390760964626,264.6897543891294
5fff2877a99bcb65a14a223c,8,84.14404761904761,208.4469387755102,78.14017857142858,474.85714285714283
606598de386cd206c99a4648,8,249.02202123917246,261.3868111740602,93.13840960097068,227.02456721519223
6081728972120aa7f9685791,8,377.50950243840236,208.24442505411258,236.40505816810506,212.59689608798064
60984a1b0cce76d16c4ca781,8,134.34417967646016,118.02416665558371,116.15918939706278,157.56281655844157
60bf706fc3b12a3c4f11a487,8,332.1584536921238,434.6116609832339,140.95391156462586,310.78140589569165
60db9412ba928de1fdc2269e,8,546.2306784063358,860.5414630073802,68.3343371676322,708.7754988067488
60efc4347ae709f7f3dd8b04,8,226.3093013899064,134.76577569660654,78.78136583944911,211.05320794976222
60f23a36acf5f6c70e990efd,8,136.9056435055748,140.20860242390506,218.89542307813164,230.55095133697418
6136cb52db0f1cb2262bbf5d,8,168.8894994456116,93.92367230983302,102.11155614103969,110.91923320466084
6140ef8d27499e70e8740918,8,157.926353290842,118.85417970200963,332.42315342788,90.03886451988897
6150ca3f37e1fe330f70311d,8,156.21503255733214,224.87472692816442,162.15810696248195,242.0333912037037
615921b85071b9caef6148d8,8,413.6816297864514,162.49905861527813,120.35542816558441,82.37037067099567
616f9519fb3906da76b8e173,8,252.57571292562315,126.22339657457411,113.12285972068867,80.37757228348575
61717173748006894b2b54ff,8,79.79304964628625,158.66825587606837,90.39942193223443,104.72708333333333
6400e3697879c55c323f34d0,8,120.12101494036168,174.8013883614086,460.15336511852547,121.68554617092563
649dba79b97070557ebe3d0b,8,299.26675686933396,147.18870706178743,324.31912467449104,111.25751857269715
