PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",10,1756281122186,1756281122278,a,65, weekly, physical-keyboard,9,0,0,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",11,1756281122357,1756281122364,n,78, weekly, physical-keyboard,10,0,0,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",12,1756281122467,1756281122554, ,32, weekly, physical-keyboard,11,0,0,0
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",13,1756281123086,1756281123117,i,73, weekly, physical-keyboard,12,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",14,1756281123238,1756281123335,m,77, weekly, physical-keyboard,13,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",15,1756281123413,1756281123472,a,65, weekly, physical-keyboard,14,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",16,1756281123597,1756281123742,g,71, weekly, physical-keyboard,15,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",17,1756281123744,1756281123788,e,69, weekly, physical-keyboard,16,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",18,1756281123866,1756281123953, ,32, weekly, physical-keyboard,17,0,1,0
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",19,1756281126279,1756281126353,i,73, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",20,1756281126516,1756281126558,n,78, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",21,1756281126635,1756281126704, ,32, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",22,1756281126826,1756281126920,w,87, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",23,1756281127029,1756281127043,h,72, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",24,1756281127667,1756281127759,Backspace,8, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",25,1756281128950,1756281129036,Backspace,8, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",26,1756281129357,1756281129421,Backspace,8, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",27,1756281129669,1756281129763,Backspace,8, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",28,1756281130107,1756281130186,Backspace,8, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",29,1756281131514,1756281131602,o,79, weekly, physical-keyboard,18,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",30,1756281131587,1756281131678,f,70, weekly, physical-keyboard,19,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",31,1756281131794,1756281131917, ,32, weekly, physical-keyboard,20,0,1,0
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",32,1756281137593,1756281137717,m,77, weekly, physical-keyboard,21,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",33,1756281137717,1756281137841,a,65, weekly, physical-keyboard,22,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",34,1756281137903,1756281137997,n,78, weekly, physical-keyboard,23,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",35,1756281138107,1756281138186, ,32, weekly, physical-keyboard,24,0,1,0
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",36,1756281138186,1756281138311,a,65, weekly, physical-keyboard,25,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",37,1756281138358,1756281138480,n,78, weekly, physical-keyboard,26,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",38,1756281138468,1756281138552,d,68, weekly, physical-keyboard,27,0,1,1
66986ab71f2b54203f26ad32,image-to-prompt,0,2,6,"Generate an image of man and woman sitting in office and working on individual computers, infront of two windows","[35,88]","[12,34]",39,1756281138583,1756281138716, ,32, weekly, physical-keyboard,28,0,1,0
