PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",15,1756240269740,1756240269811, ,32, rarely, physical-keyboard,-1
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",16,1756240274921,1756240275024,t,84, rarely, physical-keyboard,16
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",17,1756240275026,1756240275117,h,72, rarely, physical-keyboard,17
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",18,1756240275126,1756240275289,a,65, rarely, physical-keyboard,18
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",19,1756240275179,1756240275278,t,84, rarely, physical-keyboard,19
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",20,1756240276275,1756240276372, ,32, rarely, physical-keyboard,-1
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",21,1756240277038,1756240277102,i,73, rarely, physical-keyboard,21
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",22,1756240277092,1756240277191,s,83, rarely, physical-keyboard,22
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",23,1756240277199,1756240277262, ,32, rarely, physical-keyboard,-1
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",24,1756240277457,1756240277566,v,86, rarely, physical-keyboard,24
