PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6672fea3fe6378e257b6ef25,text-to-prompt,1,2,7,"write a short story, it should be 3 sentences long, it's about a small turtle walking slowly, this happens on a riverbank, after specifying this, the turtle pauses to watch leaves on the water, after taking its time there, it continues its way, leaving tiny footprints in soft mud.","[0,93];[112,121];[146,192];[223,243];[245,281]","[94,111];[123,144];[193,222]",0,1756251697402,1756251697519,w,87, daily, physical-keyboard,0
6672fea3fe6378e257b6ef25,text-to-prompt,1,2,7,"write a short story, it should be 3 sentences long, it's about a small turtle walking slowly, this happens on a riverbank, after specifying this, the turtle pauses to watch leaves on the water, after taking its time there, it continues its way, leaving tiny footprints in soft mud.","[0,93];[112,121];[146,192];[223,243];[245,281]","[94,111];[123,144];[193,222]",1,1756251697629,1756251697751,i,73, daily, physical-keyboard,0
6672fea3fe6378e257b6ef25,text-to-prompt,1,2,7,"write a short story, it should be 3 sentences long, it's about a small turtle walking slowly, this happens on a riverbank, after specifying this, the turtle pauses to watch leaves on the water, after taking its time there, it continues its way, leaving tiny footprints in soft mud.","[0,93];[112,121];[146,192];[223,243];[245,281]","[94,111];[123,144];[193,222]",2,1756251697760,1756251697855,r,82, daily, physical-keyboard,0
6672fea3fe6378e257b6ef25,text-to-prompt,1,2,7,"write a short story, it should be 3 sentences long, it's about a small turtle walking slowly, this happens on a riverbank, after specifying this, the turtle pauses to watch leaves on the water, after taking its time there, it continues its way, leaving tiny footprints in soft mud.","[0,93];[112,121];[146,192];[223,243];[245,281]","[94,111];[123,144];[193,222]",3,1756251697931,1756251698014,t,84, daily, physical-keyboard,0
6672fea3fe6378e257b6ef25,text-to-prompt,1,2,7,"write a short story, it should be 3 sentences long, it's about a small turtle walking slowly, this happens on a riverbank, after specifying this, the turtle pauses to watch leaves on the water, after taking its time there, it continues its way, leaving tiny footprints in soft mud.","[0,93];[112,121];[146,192];[223,243];[245,281]","[94,111];[123,144];[193,222]",4,1756251698107,1756251698221,e,69, daily, physical-keyboard,0
6672fea3fe6378e257b6ef25,text-to-prompt,1,2,7,"write a short story, it should be 3 sentences long, it's about a small turtle walking slowly, this happens on a riverbank, after specifying this, the turtle pauses to watch leaves on the water, after taking its time there, it continues its way, leaving tiny footprints in soft mud.","[0,93];[112,121];[146,192];[223,243];[245,281]","[94,111];[123,144];[193,222]",5,1756251698205,1756251698337, ,32, daily, physical-keyboard,0
6672fea3fe6378e257b6ef25,text-to-prompt,1,2,7,"write a short story, it should be 3 sentences long, it's about a small turtle walking slowly, this happens on a riverbank, after specifying this, the turtle pauses to watch leaves on the water, after taking its time there, it continues its way, leaving tiny footprints in soft mud.","[0,93];[112,121];[146,192];[223,243];[245,281]","[94,111];[123,144];[193,222]",6,1756251698360,1756251698548,a,65, daily, physical-keyboard,0
6672fea3fe6378e257b6ef25,text-to-prompt,1,2,7,"write a short story, it should be 3 sentences long, it's about a small turtle walking slowly, this happens on a riverbank, after specifying this, the turtle pauses to watch leaves on the water, after taking its time there, it continues its way, leaving tiny footprints in soft mud.","[0,93];[112,121];[146,192];[223,243];[245,281]","[94,111];[123,144];[193,222]",7,1756251698491,1756251698584, ,32, daily, physical-keyboard,0
6672fea3fe6378e257b6ef25,text-to-prompt,1,2,7,"write a short story, it should be 3 sentences long, it's about a small turtle walking slowly, this happens on a riverbank, after specifying this, the turtle pauses to watch leaves on the water, after taking its time there, it continues its way, leaving tiny footprints in soft mud.","[0,93];[112,121];[146,192];[223,243];[245,281]","[94,111];[123,144];[193,222]",8,1756251698834,1756251699804,Backspace,8, daily, physical-keyboard,0
6672fea3fe6378e257b6ef25,text-to-prompt,1,2,7,"write a short story, it should be 3 sentences long, it's about a small turtle walking slowly, this happens on a riverbank, after specifying this, the turtle pauses to watch leaves on the water, after taking its time there, it continues its way, leaving tiny footprints in soft mud.","[0,93];[112,121];[146,192];[223,243];[245,281]","[94,111];[123,144];[193,222]",9,1756251699366,1756251718464,Backspace,8, daily, physical-keyboard,0
