PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",19,1755621260535,1755621260655,a,65, weekly, physical-keyboard,9
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",20,1755621260704,1755621260779,k,75, weekly, physical-keyboard,10
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",21,1755621260856,1755621260984,e,69, weekly, physical-keyboard,11
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",22,1755621261020,1755621261184, ,32, weekly, physical-keyboard,12
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",23,1755621261740,1755621261879,s,83, weekly, physical-keyboard,13
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",24,1755621264754,1755621264897,o,79, weekly, physical-keyboard,14
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",25,1755621265880,1755621266055,Backspace,8, weekly, physical-keyboard,14
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",26,1755621266776,1755621266888,u,85, weekly, physical-keyboard,14
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",27,1755621267014,1755621267095,r,82, weekly, physical-keyboard,15
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",28,1755621267190,1755621267290,r,82, weekly, physical-keyboard,16
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",29,1755621267576,1755621267689,o,79, weekly, physical-keyboard,17
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",30,1755621269191,1755621269296,u,85, weekly, physical-keyboard,18
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",31,1755621269388,1755621269487,n,78, weekly, physical-keyboard,19
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",32,1755621270087,1755621270183,d,68, weekly, physical-keyboard,20
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",33,1755621270294,1755621270380,e,69, weekly, physical-keyboard,21
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",34,1755621270656,1755621270756,d,68, weekly, physical-keyboard,22
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",35,1755621270792,1755621270951, ,32, weekly, physical-keyboard,23
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",36,1755621271326,1755621271460,b,66, weekly, physical-keyboard,24
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",37,1755621271484,1755621271609,y,89, weekly, physical-keyboard,25
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",38,1755621271649,1755621271777, ,32, weekly, physical-keyboard,26
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",39,1755621271833,1755621271949,t,84, weekly, physical-keyboard,27
