filename,PARTICIPANT_ID,span_index,words,duration_seconds,WPM_file,PARTICIPANT_ID_error_word,words_error_word,backspaces_in_words,ERRORRATE_FILE,PARTICIPANT_ID_flight_dwell,mean_dwell_ms,mean_flight_ms,label
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,3,45,99.9,27.027027,5962a9280b835400010a7617,45,15,0.333333,5962a9280b835400010a7617,68.625,240.06666666666663,0
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,2,25,46.241,32.438745,5962a9280b835400010a7617,25,7,0.28,5962a9280b835400010a7617,67.57142857142857,175.16666666666666,1
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,16,58,103.874,33.502128,5962a9280b835400010a7617,58,30,0.517241,5962a9280b835400010a7617,66.8,128.5,0
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,3,13,23.766,32.819995,5962a9280b835400010a7617,13,11,0.846154,5962a9280b835400010a7617,80.66666666666667,126.0,1
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,0,30,104.048,17.299708,5962a9280b835400010a7617,30,26,0.866667,5962a9280b835400010a7617,235.25,40.66666666666666,1
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,3,43,57.15,45.144357,5962a9280b835400010a7617,43,4,0.093023,5962a9280b835400010a7617,78.6,81.25,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,0,39,62.553,37.408278,5962a9280b835400010a7617,39,7,0.179487,5962a9280b835400010a7617,102.16666666666669,78.6,0
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,0,44,95.432,27.663677,5962a9280b835400010a7617,44,14,0.318182,5962a9280b835400010a7617,117.14285714285714,145.16666666666666,0
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,1,22,89.991,14.668133,5accb373436f5500010037ee,22,0,0.0,5accb373436f5500010037ee,176.0,-103.0,0
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,7,24,77.726,18.526619,5accb373436f5500010037ee,24,16,0.666667,5accb373436f5500010037ee,89.33333333333333,382.5,0
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,6,27,120.835,13.406712,5accb373436f5500010037ee,27,0,0.0,5accb373436f5500010037ee,75.8,383.5,0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,0,51,144.548,21.169439,5accb373436f5500010037ee,51,8,0.156863,5accb373436f5500010037ee,184.0,-45.0,0
experiment_5accb373436f5500010037ee_20250826222104.csv,5accb373436f5500010037ee,1,28,55.369,30.341888,5accb373436f5500010037ee,28,5,0.178571,5accb373436f5500010037ee,68.125,67.85714285714286,0
experiment_5accb373436f5500010037ee_20250826222601.csv,5accb373436f5500010037ee,5,55,262.01,12.594939,5accb373436f5500010037ee,55,1,0.018182,5accb373436f5500010037ee,59.42857142857143,133.33333333333334,1
experiment_5accb373436f5500010037ee_20250826223512.csv,5accb373436f5500010037ee,1,29,375.515,4.633636,5accb373436f5500010037ee,29,8,0.275862,5accb373436f5500010037ee,72578.77777777778,-72709.125,0
experiment_5accb373436f5500010037ee_20250826223839.csv,5accb373436f5500010037ee,4,20,51.81,23.161552,5accb373436f5500010037ee,20,1,0.05,5accb373436f5500010037ee,72.66666666666667,102.5,1
experiment_5adae3ebdec767000128c131_20250819161542.csv,5adae3ebdec767000128c131,11,25,90.173,16.634691,5adae3ebdec767000128c131,25,5,0.2,5adae3ebdec767000128c131,212.0,287.0,0
experiment_5adae3ebdec767000128c131_20250819161703.csv,5adae3ebdec767000128c131,0,15,28.264,31.842627,5adae3ebdec767000128c131,15,0,0.0,5adae3ebdec767000128c131,3813.0,-4725.0,0
experiment_5adae3ebdec767000128c131_20250819161830.csv,5adae3ebdec767000128c131,0,17,30.159,33.82075,5adae3ebdec767000128c131,17,0,0.0,5adae3ebdec767000128c131,199.4,210.75,0
experiment_5adae3ebdec767000128c131_20250819161945.csv,5adae3ebdec767000128c131,0,13,49.286,15.825995,5adae3ebdec767000128c131,13,10,0.769231,5adae3ebdec767000128c131,201.75,91.0,1
experiment_5adae3ebdec767000128c131_20250819162111.csv,5adae3ebdec767000128c131,0,21,48.591,25.930728,5adae3ebdec767000128c131,21,0,0.0,5adae3ebdec767000128c131,222.0,101.33333333333331,0
experiment_5adae3ebdec767000128c131_20250819162323.csv,5adae3ebdec767000128c131,2,27,86.631,18.700003,5adae3ebdec767000128c131,27,0,0.0,5adae3ebdec767000128c131,124.66666666666669,192.5,0
experiment_5adae3ebdec767000128c131_20250819162433.csv,5adae3ebdec767000128c131,0,20,43.839,27.372887,5adae3ebdec767000128c131,20,0,0.0,5adae3ebdec767000128c131,169.75,118.0,0
