target,R2_mean,R2_std,MSE_mean,MSE_std,n_samples,n_groups
mean_flight_confident_ms,-0.10949954820023447,0.21472427785787218,43950.64274328833,22219.807451769833,629,79
mean_dwell_unconfident_ms,-0.18534161232849755,0.36314939211106895,128851.14609867086,72158.83555794264,631,79
mean_flight_unconfident_ms,-0.3545762772497452,0.5446074421340602,143539.4828432728,212028.1738734986,630,79
mean_dwell_confident_ms,-0.44124075464111917,0.5579738892415416,363894.9463678434,180416.80739379494,630,79
