fold,R2,MSE
1,-0.3236028801137272,35269.63293918484
2,-0.01409046538263925,567078.7167302069
3,-1.4105613789972304,57079.01943647391
4,0.07907596470646927,32274.826749913165
5,-0.10370262646159856,25995.218360585128
