fold,R2,MSE
1,-0.04605202120060947,64970.46051853157
2,0.05716047606684127,238972.508716946
3,-0.00993503133974416,189432.44749746882
4,-0.019431950507454054,90464.63079003515
5,-0.9084495346615213,60415.68297037273
