fold,R2,MSE
1,-0.4655038971359089,103542.58363651313
2,-0.18114254103249605,394404.3610128858
3,-1.507726089966444,218949.2136009398
4,0.02910084495055243,513910.13689836214
5,-0.08093209002129909,588668.4366905163
