fold,R2,MSE
1,-0.06715688217007099,24037.81380528457
2,-0.09283576838179752,85337.4923515109
3,-0.06369203216797814,25672.324170625307
4,-0.4942246619260391,39190.2015085332
5,0.17041160364471342,45515.38188048766
