PARTICIPANT_ID,mean_dwell_bigram,mean_flight_bigram,mean_dwell_trigram,mean_flight_trigram
5962a9280b835400010a7617,-28287286567.193024,28287286924.902588,-26702130158.4505,26702130506.40727
5accb373436f5500010037ee,-18825914849.099564,18825915649.68486,-19640607317.630245,19640608034.71234
5adae3ebdec767000128c131,-28366985048.139767,28366985610.17387,-30527054061.38234,30527054615.92263
5bf368846edd7200017136c7,137.05069533738026,78.98826531083117,137.83413224288756,74.90923485086876
5c4f5967aac8be0001716a65,-28847649464.75761,28847649765.05884,-30843977937.348473,30843978224.96487
5caa534a19731a00190bb935,82.34014376736512,363.28903936024045,81.18229072170007,354.6129862553041
5cab22cd68194f001511b2d6,-21028964236.16689,21028964614.82275,-22992702240.50756,22992702592.780125
5ced66139b5b490001b688ed,-17118170613.311794,17118170885.655256,-25904373780.86068,25904374042.495766
5d3b0da8a884020001881773,73.5587340102533,178.96295278065855,72.46494010931845,163.43148238430416
5d40a12f4994c40001e4b80c,82.75437346468368,303.4160306139121,83.21014282306027,310.05490364794787
5dafea4de40355001651fa2f,87.6723540254569,419.96643104573405,88.10196819666902,422.2296108853388
5ea4cebb8944a8495280db42,-3094984588.1976867,3094984792.752443,-2846700888.2348413,2846701087.0259004
5f29eff59714081a3594a331,-8994913442.849787,8994913980.363031,-11510047046.263159,11510047567.25394
5f600669b846780f0fe45709,-57435786305.9576,57435787003.65778,-71115128357.19156,71115129073.13081
5faeb56b25a37f01d47d326c,-30238868169.965576,30238868560.639496,-31440055180.09623,31440055535.09416
5fb551ccab996500099ab1aa,-69316349623.98326,69316349897.33504,-82473045527.45036,82473045805.96614
5fbfe145e52a44000a9c2966,-10295330029.421158,10295330453.16073,-10689728269.842278,10689728702.8836
5fff2877a99bcb65a14a223c,-17098979571.900719,17098980040.019445,-25679984610.106644,25679985050.6677
606598de386cd206c99a4648,-17358928746.23604,17358929203.770466,-17431982912.081787,17431983333.189026
6081728972120aa7f9685791,-53381931815.91032,53381932254.5466,-56226886977.059555,56226887425.878586
60984a1b0cce76d16c4ca781,-14293765048.235134,14293765264.084682,-12726244016.114573,12726244233.788378
60bf706fc3b12a3c4f11a487,-27898412865.91123,27898413457.936054,-31818335057.97343,31818335614.695415
60db9412ba928de1fdc2269e,-24774337188.14512,24774338406.488922,-26539032929.502556,26539034042.375362
60efc4347ae709f7f3dd8b04,-27962329446.56399,27962329713.977146,-26816873482.708935,26816873767.859856
60f23a36acf5f6c70e990efd,-21017270566.264297,21017270819.945305,-23310591769.07171,23310592000.020554
6136cb52db0f1cb2262bbf5d,-11679352949.507734,11679353207.116392,-12815506652.912292,12815506906.385492
6140ef8d27499e70e8740918,-19258566329.214287,19258566590.112686,-18243969248.052486,18243969505.09798
6150ca3f37e1fe330f70311d,-6456924109.021174,6456924447.219083,-9419550568.315598,9419550890.151989
615921b85071b9caef6148d8,-28955092524.68689,28955092732.17518,-34098060637.17505,34098060836.52941
616f9519fb3906da76b8e173,-21207211145.876526,21207211362.775715,-26275645589.206093,26275645801.098843
61717173748006894b2b54ff,-22527004863.046356,22527005144.892418,-30731958896.2269,30731959156.17029
6400e3697879c55c323f34d0,-25850245335.691998,25850245690.47589,-32435358716.693493,32435359080.215927
649dba79b97070557ebe3d0b,-10845773350.642574,10845773631.643925,-10792378067.56901,10792378305.772732
64e8b6f73929dae22fc25705,-2523370802.971629,2523371153.4972544,-3720902756.8531127,3720903099.967788
6527f153bea7b2d7c0d556e4,-81096724805.93771,81096725083.71245,-94480238739.51958,94480239039.79613
6538097b8793d9b90adc4667,92.20337838639884,133.81073620803485,91.79127125627832,143.03651577353025
