word,n_confident,n_unconfident,n_none,labels,occurrences
office,1,1,0,"CONFIDENT,UNCONFIDENT","[24,29];[100,105]"
two,2,1,0,"CONFIDENT,UNCONFIDENT","[40,42];[128,130];[205,207]"
