word,n_confident,n_unconfident,n_none,labels,occurrences
about,1,1,0,"CONFIDENT,UNCONFIDENT","[19,23]"
short,1,1,0,"CONFIDENT,UNCONFIDENT","[8,12]"
text,1,1,0,"CONFIDENT,UNCONFIDENT","[14,17]"
