word,n_confident,n_unconfident,n_none,labels,occurrences
left,2,0,1,"CONFIDENT,NONE","[148,151];[230,233];[291,294]"
man,1,0,1,"CONFIDENT,NONE","[219,221];[303,305]"
two,1,0,1,"CONFIDENT,NONE","[111,113];[235,237]"
