word,n_confident,n_unconfident,n_none,labels,occurrences
blue,1,0,1,"CONFIDENT,NONE","[85,88];[224,227]"
beach,0,1,2,"UNCONFIDENT,NONE","[24,28];[121,125];[150,154]"
