word,n_confident,n_unconfident,n_none,labels,occurrences
2,1,0,1,"CONFIDENT,NONE","[107,107];[139,139]"
about,1,0,1,"CONFIDENT,NONE","[95,99];[177,181]"
years,1,0,1,"CONFIDENT,NONE","[109,113];[141,145]"
