word,n_confident,n_unconfident,n_none,labels,occurrences
alien,1,1,0,"CONFIDENT,UNCONFIDENT","[34,38];[84,88]"
planet,0,1,2,"UNCONFIDENT,NONE","[47,52];[109,114];[202,207]"
