word,n_confident,n_unconfident,n_none,labels,occurrences
cat,2,0,2,"CONFIDENT,NONE","[52,54];[72,74];[222,224];[395,397]"
light,1,0,1,"CONFIDENT,NONE","[162,166];[311,315]"
room,1,0,1,"CONFIDENT,NONE","[187,190];[231,234]"
