word,n_confident,n_unconfident,n_none,labels,occurrences
lake,1,1,0,"CONFIDENT,UNCONFIDENT","[58,61];[529,532]"
should,7,2,0,"CONFIDENT,UNCONFIDENT","[135,140];[167,172];[226,231];[258,263];[355,360];[485,490];[562,567];[616,621];[666,671]"
