word,n_confident,n_unconfident,n_none,labels,occurrences
front,1,0,1,"CONFIDENT,NONE","[97,101];[377,381]"
table,2,0,1,"CONFIDENT,NONE","[289,293];[441,445];[460,464]"
middle,2,2,0,"CONFIDENT,UNCONFIDENT","[75,80];[319,324];[485,490];[515,520]"
two,1,2,0,"CONFIDENT,UNCONFIDENT","[29,31];[500,502];[544,546]"
black,0,1,1,"UNCONFIDENT,NONE","[171,175];[636,640]"
left,0,2,2,"UNCONFIDENT,NONE","[235,238];[469,472];[605,608];[647,650]"
other,0,1,1,"UNCONFIDENT,NONE","[191,195];[538,542]"
right,0,1,1,"UNCONFIDENT,NONE","[251,255];[475,479]"
side,0,1,1,"UNCONFIDENT,NONE","[354,357];[610,613]"
