word,n_confident,n_unconfident,n_none,labels,occurrences
don't,1,1,0,"CONFIDENT,UNCONFIDENT","[162,166]"
game,2,1,0,"CONFIDENT,UNCONFIDENT","[102,105];[137,140];[208,211]"
make,1,1,0,"CONFIDENT,UNCONFIDENT","[108,111];[168,171]"
