word,n_confident,n_unconfident,n_none,labels,occurrences
chef,2,1,0,"CONFIDENT,UNCONFIDENT","[36,39];[307,310];[386,389]"
should,4,1,0,"CONFIDENT,UNCONFIDENT","[107,112];[196,201];[312,317];[352,357];[391,396]"
