filename,PARTICIPANT_ID,span_index,pause_within_mean_ms,pause_within_max_ms,pause_within_min_ms,pause_within_var_ms,pause_between_ms,label
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,48,91.0,107.0,79.0,138.66666666666666,221.0,1
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,49,79.5,111.0,51.0,484.25,326.0,1
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,50,,,,,181.0,1
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,51,74.0,74.0,74.0,0.0,1225.0,1
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,52,69.5,91.0,53.0,149.75,206.0,1
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,53,65.5,74.0,57.0,72.25,201.0,1
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,54,,,,,216.0,1
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,55,57.0,57.0,57.0,0.0,198.0,1
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,56,77.33333333333333,88.0,62.0,123.55555555555556,151.0,1
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,57,79.14285714285714,103.0,62.0,233.55102040816323,505.0,1
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,3,98.0,98.0,98.0,0.0,579.0,1
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,4,1432.857142857143,15457.0,13.0,15713180.12244898,293.0,1
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,5,71.66666666666667,84.0,64.0,77.55555555555556,261.0,1
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,8,74.5,94.0,59.0,202.25,550.0,0
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,9,77.6,116.0,58.0,447.03999999999996,211.0,0
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,10,64.66666666666667,68.0,59.0,16.22222222222222,186.0,0
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,11,,,,,179.0,0
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,12,63.44444444444444,107.0,48.0,299.358024691358,162.0,0
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,0,122.5,136.0,109.0,182.25,,1
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,1,79.0,83.0,75.0,16.0,243.0,1
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,2,,,,,186.0,1
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,3,90.75,108.0,68.0,262.6875,605.0,1
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,4,,,,,555.0,1
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,5,78.0,114.0,50.0,325.38461538461536,264.0,1
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,6,76.83333333333333,136.0,43.0,814.8055555555555,142.0,0
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,7,,,,,214.0,0
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,8,80.66666666666667,99.0,61.0,241.55555555555554,385.0,0
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,9,70.2,90.0,48.0,288.15999999999997,255.0,0
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,10,86.0,86.0,86.0,0.0,528.0,0
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,11,,,,,239.0,0
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,12,70.33333333333333,81.0,63.0,59.555555555555564,268.0,0
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,13,17024.655172413793,79212.0,57.0,670462446.5707489,341.0,0
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,14,83.0,102.0,62.0,213.5,220.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,3,79.66666666666667,102.0,67.0,250.88888888888889,506.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,4,,,,,266.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,5,,,,,267.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,6,85.0,98.0,63.0,244.66666666666666,523.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,7,60.0,60.0,60.0,0.0,402.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,8,72.5,78.0,67.0,30.25,5811.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,9,,,,,319.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,10,85.85714285714286,131.0,54.0,834.6938775510205,444.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,11,79.75,88.0,59.0,144.1875,550.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,12,73.0,89.0,63.0,98.0,1018.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,13,,,,,203.0,0
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,34,63.0,71.0,55.0,64.0,642.0,1
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,35,,,,,344.0,1
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,36,,,,,321.0,1
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,37,94.5,107.0,82.0,156.25,322.0,1
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,38,,,,,638.0,1
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,39,,,,,207.0,1
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,40,84.33333333333333,100.0,66.0,196.2222222222222,464.0,1
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,41,79.33333333333333,93.0,69.0,101.55555555555556,1112.0,1
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,42,79.66666666666667,133.0,43.0,951.8888888888887,304.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,0,73.5,107.0,46.0,529.25,,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,1,,,,,229.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,2,52.0,52.0,52.0,0.0,183.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,3,61.333333333333336,83.0,31.0,488.22222222222223,245.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,4,85.0,85.0,85.0,0.0,787.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,5,56.0,56.0,56.0,0.0,5004.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,6,75.0,82.0,68.0,17.466666666666665,510.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,7,73.0,90.0,57.0,126.0,404.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,8,,,,,179.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,9,57.0,57.0,57.0,0.0,156.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,10,73.33333333333333,87.0,57.0,153.55555555555557,214.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,11,,,,,283.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,12,296.4,1167.0,58.0,189777.84,142.0,0
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,20,66.0,84.0,59.0,82.8,513.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,21,84.0,96.0,66.0,168.0,537.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,22,81.6,90.0,71.0,47.44,226.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,23,74.2,90.0,52.0,164.95999999999998,913.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,24,,,,,144.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,25,65.0,65.0,65.0,0.0,147.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,26,71.66666666666667,81.0,63.0,54.22222222222223,165.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,27,59.666666666666664,86.0,43.0,354.8888888888889,284.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,28,62.0,62.0,62.0,0.0,326.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,29,72.25,77.0,61.0,43.6875,455.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,30,66.5,97.0,46.0,199.41666666666666,6450.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,31,,,,,177.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,32,66.0,69.0,61.0,12.666666666666666,323.0,1
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,33,70.8,99.0,58.0,219.76,161.0,1
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,0,73.0,87.0,42.0,276.8,,0
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,1,,,,,277.0,0
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,2,,,,,1150.0,0
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,3,65.14285714285714,87.0,50.0,144.69387755102042,474.0,0
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,4,76.33333333333333,83.0,68.0,38.88888888888889,513.0,0
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,5,85.0,102.0,70.0,129.5,248.0,0
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,6,,,,,283.0,0
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,7,71.66666666666667,75.0,69.0,6.222222222222221,534.0,0
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,15,102.73333333333333,290.0,49.0,4192.595555555555,559.0,1
