PARTICIPANT_ID,files,total_rows,total_backspaces,ERROR_RATE_TOTAL_ID
5962a9280b835400010a7617,8,1836,122,0.066449
5accb373436f5500010037ee,8,1583,47,0.02969
5adae3ebdec767000128c131,8,900,20,0.022222
5bf368846edd7200017136c7,8,812,19,0.023399
5c4f5967aac8be0001716a65,8,1392,118,0.08477
5caa534a19731a00190bb935,8,1266,89,0.0703
5cab22cd68194f001511b2d6,8,1773,167,0.094191
5ced66139b5b490001b688ed,8,1300,114,0.087692
5d3b0da8a884020001881773,8,1719,42,0.024433
5d40a12f4994c40001e4b80c,8,703,5,0.007112
5dafea4de40355001651fa2f,8,817,3,0.003672
5ea4cebb8944a8495280db42,8,1939,170,0.087674
5f29eff59714081a3594a331,8,1178,104,0.088285
5f600669b846780f0fe45709,8,1661,187,0.112583
5faeb56b25a37f01d47d326c,8,2011,207,0.102934
5fb551ccab996500099ab1aa,8,1735,291,0.167723
5fbfe145e52a44000a9c2966,8,1605,168,0.104673
5fff2877a99bcb65a14a223c,8,364,65,0.178571
606598de386cd206c99a4648,8,2102,88,0.041865
6081728972120aa7f9685791,8,1445,93,0.06436
60984a1b0cce76d16c4ca781,8,1608,125,0.077736
60bf706fc3b12a3c4f11a487,8,985,103,0.104569
60db9412ba928de1fdc2269e,8,637,7,0.010989
60efc4347ae709f7f3dd8b04,8,2271,225,0.099075
60f23a36acf5f6c70e990efd,8,1949,188,0.09646
6136cb52db0f1cb2262bbf5d,8,1168,41,0.035103
6140ef8d27499e70e8740918,8,3524,210,0.059591
6150ca3f37e1fe330f70311d,8,1452,71,0.048898
615921b85071b9caef6148d8,8,2675,404,0.151028
616f9519fb3906da76b8e173,8,1629,185,0.113567
61717173748006894b2b54ff,8,883,192,0.217441
6400e3697879c55c323f34d0,8,1887,121,0.064123
649dba79b97070557ebe3d0b,8,4198,269,0.064078
64e8b6f73929dae22fc25705,8,710,59,0.083099
6527f153bea7b2d7c0d556e4,8,2342,304,0.129804
6538097b8793d9b90adc4667,8,646,91,0.140867
65a3ec77f674ac3e98f0c6ac,8,845,98,0.115976
65a3f4da297bacfcc92dead2,8,1209,127,0.105045
65c7b42c1c15b1064e26f265,8,198,0,0.0
65cf6d8a589a67afcab54e6f,8,2969,313,0.105423
65eafe348dd7dad3b69be921,8,1915,350,0.182768
65f03cac071873738667ccbb,8,2150,210,0.097674
65f1ee12589aa15061efa22a,8,4358,484,0.11106
65f333c755d191fcd18fa279,8,2475,135,0.054545
65fb34c4df61f03ce0dd6dd9,8,951,69,0.072555
65fc95c627592d85499ae358,8,1568,87,0.055485
65fda4aa45ba55e983e2a2d9,8,1344,72,0.053571
6614435124bf16e7a24f9662,8,749,87,0.116155
661564c766603e80ca4c3184,8,873,135,0.154639
663068f52490bf6d13f95968,8,1226,89,0.072594
66321cfc446914f3b199e193,8,2106,115,0.054606
663378460f834e9670d1508c,8,3502,265,0.075671
6635344fb4ae723326e3ce04,8,457,21,0.045952
6643495b44af166c626762cd,8,1509,80,0.053015
664b44d8a11f1bcbba9e0494,8,1635,82,0.050153
664c8dd7baa052f7b1e88417,8,1066,89,0.08349
664e413a5f3eb7f99d90e15b,8,2394,206,0.086048
664fa86722f5339adebd32ec,8,1044,209,0.200192
666f76b68b89442817be678a,8,831,54,0.064982
6672bf56d51710391ce2164d,8,2052,151,0.073587
6672fea3fe6378e257b6ef25,8,4105,448,0.109135
6679a3b7cb020a6e4728eac5,8,2132,266,0.124765
66986ab71f2b54203f26ad32,8,825,30,0.036364
66b4f89242c0ff3aab8f8774,8,1542,194,0.125811
66bb6b7e0ccbed81f3ed30a8,8,1340,14,0.010448
6702f60844f21087e0840e3d,8,844,116,0.137441
6725030a6ee43d8130ceefc5,8,2258,118,0.052259
6725c4a8e3ab0787551acf38,8,2394,131,0.05472
67356f7cf6ff16fe3322a837,8,748,67,0.089572
673d0377254c407e5da57f97,8,606,44,0.072607
673f7365f63a4a3036aae1f2,8,1827,49,0.02682
67430c9cce2366e644146584,8,1277,109,0.085356
67450bce7a49cb1c784dcc2b,8,1720,154,0.089535
676797a573d3cbf6add72f02,8,872,122,0.139908
67709b0a96dcc9c2a7b0a06e,8,1411,77,0.054571
67acbb030811018b016dcaf7,8,973,69,0.070915
67bb91a04f5f96b7ac52242d,8,2567,146,0.056876
67d01f812bf82a710cd2193f,8,1246,14,0.011236
67d80b3db0cac8b1bd982fb2,8,1412,66,0.046742
