filename,PARTICIPANT_ID,words,backspaces_in_words,ERRORRATE_FILE
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,45,15,0.333333
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,25,7,0.28
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,58,30,0.517241
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,13,11,0.846154
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,30,26,0.866667
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,43,4,0.093023
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,39,7,0.179487
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,44,14,0.318182
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,22,0,0.0
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,24,16,0.666667
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,27,0,0.0
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,51,8,0.156863
experiment_5accb373436f5500010037ee_20250826222104.csv,5accb373436f5500010037ee,28,5,0.178571
experiment_5accb373436f5500010037ee_20250826222601.csv,5accb373436f5500010037ee,55,1,0.018182
experiment_5accb373436f5500010037ee_20250826223512.csv,5accb373436f5500010037ee,29,8,0.275862
experiment_5accb373436f5500010037ee_20250826223839.csv,5accb373436f5500010037ee,20,1,0.05
experiment_5adae3ebdec767000128c131_20250819161542.csv,5adae3ebdec767000128c131,25,5,0.2
experiment_5adae3ebdec767000128c131_20250819161703.csv,5adae3ebdec767000128c131,15,0,0.0
experiment_5adae3ebdec767000128c131_20250819161830.csv,5adae3ebdec767000128c131,17,0,0.0
experiment_5adae3ebdec767000128c131_20250819161945.csv,5adae3ebdec767000128c131,13,10,0.769231
experiment_5adae3ebdec767000128c131_20250819162111.csv,5adae3ebdec767000128c131,21,0,0.0
experiment_5adae3ebdec767000128c131_20250819162323.csv,5adae3ebdec767000128c131,27,0,0.0
experiment_5adae3ebdec767000128c131_20250819162433.csv,5adae3ebdec767000128c131,20,0,0.0
experiment_5adae3ebdec767000128c131_20250819162658.csv,5adae3ebdec767000128c131,26,5,0.192308
experiment_5bf368846edd7200017136c7_20250819173015.csv,5bf368846edd7200017136c7,19,9,0.473684
experiment_5bf368846edd7200017136c7_20250819173115.csv,5bf368846edd7200017136c7,21,0,0.0
experiment_5bf368846edd7200017136c7_20250819173224.csv,5bf368846edd7200017136c7,18,7,0.388889
experiment_5bf368846edd7200017136c7_20250819173345.csv,5bf368846edd7200017136c7,18,0,0.0
experiment_5bf368846edd7200017136c7_20250819173434.csv,5bf368846edd7200017136c7,15,0,0.0
experiment_5bf368846edd7200017136c7_20250819173531.csv,5bf368846edd7200017136c7,14,1,0.071429
experiment_5bf368846edd7200017136c7_20250819173657.csv,5bf368846edd7200017136c7,23,2,0.086957
experiment_5bf368846edd7200017136c7_20250819173744.csv,5bf368846edd7200017136c7,7,0,0.0
experiment_5c4f5967aac8be0001716a65_20250827072337.csv,5c4f5967aac8be0001716a65,31,16,0.516129
experiment_5c4f5967aac8be0001716a65_20250827072604.csv,5c4f5967aac8be0001716a65,31,16,0.516129
experiment_5c4f5967aac8be0001716a65_20250827072740.csv,5c4f5967aac8be0001716a65,21,8,0.380952
experiment_5c4f5967aac8be0001716a65_20250827072858.csv,5c4f5967aac8be0001716a65,12,40,3.333333
experiment_5c4f5967aac8be0001716a65_20250827073017.csv,5c4f5967aac8be0001716a65,29,14,0.482759
experiment_5c4f5967aac8be0001716a65_20250827073135.csv,5c4f5967aac8be0001716a65,31,4,0.129032
experiment_5c4f5967aac8be0001716a65_20250827073247.csv,5c4f5967aac8be0001716a65,29,12,0.413793
experiment_5c4f5967aac8be0001716a65_20250827073348.csv,5c4f5967aac8be0001716a65,22,2,0.090909
experiment_5caa534a19731a00190bb935_20250826134753.csv,5caa534a19731a00190bb935,19,11,0.578947
experiment_5caa534a19731a00190bb935_20250826134934.csv,5caa534a19731a00190bb935,25,10,0.4
experiment_5caa534a19731a00190bb935_20250826135056.csv,5caa534a19731a00190bb935,24,7,0.291667
experiment_5caa534a19731a00190bb935_20250826135247.csv,5caa534a19731a00190bb935,22,9,0.409091
experiment_5caa534a19731a00190bb935_20250826135512.csv,5caa534a19731a00190bb935,37,6,0.162162
experiment_5caa534a19731a00190bb935_20250826135711.csv,5caa534a19731a00190bb935,28,11,0.392857
experiment_5caa534a19731a00190bb935_20250826135920.csv,5caa534a19731a00190bb935,22,23,1.045455
experiment_5caa534a19731a00190bb935_20250826140059.csv,5caa534a19731a00190bb935,22,9,0.409091
experiment_5cab22cd68194f001511b2d6_20250826123221.csv,5cab22cd68194f001511b2d6,12,46,3.833333
experiment_5cab22cd68194f001511b2d6_20250826123421.csv,5cab22cd68194f001511b2d6,16,51,3.1875
experiment_5cab22cd68194f001511b2d6_20250826123618.csv,5cab22cd68194f001511b2d6,22,18,0.818182
experiment_5cab22cd68194f001511b2d6_20250826123817.csv,5cab22cd68194f001511b2d6,51,11,0.215686
experiment_5cab22cd68194f001511b2d6_20250826124016.csv,5cab22cd68194f001511b2d6,54,15,0.277778
experiment_5cab22cd68194f001511b2d6_20250826124150.csv,5cab22cd68194f001511b2d6,39,4,0.102564
experiment_5cab22cd68194f001511b2d6_20250826124351.csv,5cab22cd68194f001511b2d6,43,11,0.255814
experiment_5cab22cd68194f001511b2d6_20250826124438.csv,5cab22cd68194f001511b2d6,12,0,0.0
experiment_5ced66139b5b490001b688ed_20250819173629.csv,5ced66139b5b490001b688ed,16,74,4.625
