filename,PARTICIPANT_ID,words,duration_seconds,WPM_file
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,45,99.9,27.027027
experiment_5962a9280b835400010a7617_20250819171842.csv,5962a9280b835400010a7617,25,46.241,32.438745
experiment_5962a9280b835400010a7617_20250819172140.csv,5962a9280b835400010a7617,58,103.874,33.502128
experiment_5962a9280b835400010a7617_20250819172308.csv,5962a9280b835400010a7617,13,23.766,32.819995
experiment_5962a9280b835400010a7617_20250819172535.csv,5962a9280b835400010a7617,30,104.048,17.299708
experiment_5962a9280b835400010a7617_20250819172701.csv,5962a9280b835400010a7617,43,57.15,45.144357
experiment_5962a9280b835400010a7617_20250819172849.csv,5962a9280b835400010a7617,39,62.553,37.408278
experiment_5962a9280b835400010a7617_20250819173056.csv,5962a9280b835400010a7617,44,95.432,27.663677
experiment_5accb373436f5500010037ee_20250826220942.csv,5accb373436f5500010037ee,22,89.991,14.668133
experiment_5accb373436f5500010037ee_20250826221152.csv,5accb373436f5500010037ee,24,77.726,18.526619
experiment_5accb373436f5500010037ee_20250826221422.csv,5accb373436f5500010037ee,27,120.835,13.406712
experiment_5accb373436f5500010037ee_20250826221929.csv,5accb373436f5500010037ee,51,144.548,21.169439
experiment_5accb373436f5500010037ee_20250826222104.csv,5accb373436f5500010037ee,28,55.369,30.341888
experiment_5accb373436f5500010037ee_20250826222601.csv,5accb373436f5500010037ee,55,262.01,12.594939
experiment_5accb373436f5500010037ee_20250826223512.csv,5accb373436f5500010037ee,29,375.515,4.633636
experiment_5accb373436f5500010037ee_20250826223839.csv,5accb373436f5500010037ee,20,51.81,23.161552
experiment_5adae3ebdec767000128c131_20250819161542.csv,5adae3ebdec767000128c131,25,90.173,16.634691
experiment_5adae3ebdec767000128c131_20250819161703.csv,5adae3ebdec767000128c131,15,28.264,31.842627
experiment_5adae3ebdec767000128c131_20250819161830.csv,5adae3ebdec767000128c131,17,30.159,33.82075
experiment_5adae3ebdec767000128c131_20250819161945.csv,5adae3ebdec767000128c131,13,49.286,15.825995
experiment_5adae3ebdec767000128c131_20250819162111.csv,5adae3ebdec767000128c131,21,48.591,25.930728
experiment_5adae3ebdec767000128c131_20250819162323.csv,5adae3ebdec767000128c131,27,86.631,18.700003
experiment_5adae3ebdec767000128c131_20250819162433.csv,5adae3ebdec767000128c131,20,43.839,27.372887
experiment_5adae3ebdec767000128c131_20250819162658.csv,5adae3ebdec767000128c131,26,109.702,14.220342
experiment_5bf368846edd7200017136c7_20250819173015.csv,5bf368846edd7200017136c7,19,17.806,64.023363
experiment_5bf368846edd7200017136c7_20250819173115.csv,5bf368846edd7200017136c7,21,19.335,65.166796
experiment_5bf368846edd7200017136c7_20250819173224.csv,5bf368846edd7200017136c7,18,35.971,30.024186
experiment_5bf368846edd7200017136c7_20250819173345.csv,5bf368846edd7200017136c7,18,37.945,28.462248
experiment_5bf368846edd7200017136c7_20250819173434.csv,5bf368846edd7200017136c7,15,15.772,57.06315
experiment_5bf368846edd7200017136c7_20250819173531.csv,5bf368846edd7200017136c7,14,20.591,40.794522
experiment_5bf368846edd7200017136c7_20250819173657.csv,5bf368846edd7200017136c7,23,31.352,44.016331
experiment_5bf368846edd7200017136c7_20250819173744.csv,5bf368846edd7200017136c7,7,4.386,95.759234
experiment_5c4f5967aac8be0001716a65_20250827072337.csv,5c4f5967aac8be0001716a65,31,56.044,33.188209
experiment_5c4f5967aac8be0001716a65_20250827072604.csv,5c4f5967aac8be0001716a65,31,80.299,23.163427
experiment_5c4f5967aac8be0001716a65_20250827072740.csv,5c4f5967aac8be0001716a65,21,40.93,30.784266
experiment_5c4f5967aac8be0001716a65_20250827072858.csv,5c4f5967aac8be0001716a65,12,52.403,13.739671
experiment_5c4f5967aac8be0001716a65_20250827073017.csv,5c4f5967aac8be0001716a65,29,48.72,35.714286
experiment_5c4f5967aac8be0001716a65_20250827073135.csv,5c4f5967aac8be0001716a65,31,27.201,68.379839
experiment_5c4f5967aac8be0001716a65_20250827073247.csv,5c4f5967aac8be0001716a65,29,48.284,36.036782
experiment_5c4f5967aac8be0001716a65_20250827073348.csv,5c4f5967aac8be0001716a65,22,34.604,38.145879
experiment_5caa534a19731a00190bb935_20250826134753.csv,5caa534a19731a00190bb935,19,79.743,14.295926
experiment_5caa534a19731a00190bb935_20250826134934.csv,5caa534a19731a00190bb935,25,68.33,21.95229
experiment_5caa534a19731a00190bb935_20250826135056.csv,5caa534a19731a00190bb935,24,53.741,26.795184
experiment_5caa534a19731a00190bb935_20250826135247.csv,5caa534a19731a00190bb935,22,71.282,18.517999
experiment_5caa534a19731a00190bb935_20250826135512.csv,5caa534a19731a00190bb935,37,69.653,31.872281
experiment_5caa534a19731a00190bb935_20250826135711.csv,5caa534a19731a00190bb935,28,72.915,23.040527
experiment_5caa534a19731a00190bb935_20250826135920.csv,5caa534a19731a00190bb935,22,72.784,18.135854
experiment_5caa534a19731a00190bb935_20250826140059.csv,5caa534a19731a00190bb935,22,62.101,21.255696
experiment_5cab22cd68194f001511b2d6_20250826123221.csv,5cab22cd68194f001511b2d6,12,118.967,6.052098
