PARTICIPANT_ID,files,WPM_AVG
5962a9280b835400010a7617,8,31.662989
5accb373436f5500010037ee,8,17.312865
5adae3ebdec767000128c131,8,23.043503
5bf368846edd7200017136c7,8,53.163729
5c4f5967aac8be0001716a65,8,34.894045
5caa534a19731a00190bb935,8,21.98322
5cab22cd68194f001511b2d6,8,30.759709
5ced66139b5b490001b688ed,8,43.354809
5d3b0da8a884020001881773,8,43.401547
5d40a12f4994c40001e4b80c,8,26.841951
5dafea4de40355001651fa2f,8,21.050028
5ea4cebb8944a8495280db42,8,48.418527
5f29eff59714081a3594a331,8,20.250914
5f600669b846780f0fe45709,8,15.603909
5faeb56b25a37f01d47d326c,8,25.046002
5fb551ccab996500099ab1aa,8,32.376315
5fbfe145e52a44000a9c2966,8,23.536412
5fff2877a99bcb65a14a223c,8,22.933557
606598de386cd206c99a4648,8,24.783132
6081728972120aa7f9685791,8,21.960185
60984a1b0cce76d16c4ca781,8,42.498027
60bf706fc3b12a3c4f11a487,8,17.791362
60db9412ba928de1fdc2269e,8,7.62252
60efc4347ae709f7f3dd8b04,8,34.294829
60f23a36acf5f6c70e990efd,8,39.043837
6136cb52db0f1cb2262bbf5d,8,39.86911
6140ef8d27499e70e8740918,8,43.110054
6150ca3f37e1fe330f70311d,8,33.130777
615921b85071b9caef6148d8,8,41.614948
616f9519fb3906da76b8e173,8,46.989127
61717173748006894b2b54ff,8,28.387907
6400e3697879c55c323f34d0,8,28.984857
649dba79b97070557ebe3d0b,8,43.733948
64e8b6f73929dae22fc25705,8,29.917089
6527f153bea7b2d7c0d556e4,8,30.774486
6538097b8793d9b90adc4667,8,37.932509
65a3ec77f674ac3e98f0c6ac,8,27.617403
65a3f4da297bacfcc92dead2,8,21.124697
65c7b42c1c15b1064e26f265,8,21.127527
65cf6d8a589a67afcab54e6f,8,28.147776
65eafe348dd7dad3b69be921,8,13.485791
65f03cac071873738667ccbb,8,20.179802
65f1ee12589aa15061efa22a,8,18.176691
65f333c755d191fcd18fa279,8,29.30285
65fb34c4df61f03ce0dd6dd9,8,31.169588
65fc95c627592d85499ae358,8,31.199186
65fda4aa45ba55e983e2a2d9,8,18.113402
6614435124bf16e7a24f9662,8,18.612345
661564c766603e80ca4c3184,8,33.43473
663068f52490bf6d13f95968,8,46.9609
66321cfc446914f3b199e193,8,18.581056
663378460f834e9670d1508c,8,23.194365
6635344fb4ae723326e3ce04,8,14.562981
6643495b44af166c626762cd,8,29.267658
664b44d8a11f1bcbba9e0494,8,31.110737
664c8dd7baa052f7b1e88417,8,19.299148
664e413a5f3eb7f99d90e15b,8,15.962875
664fa86722f5339adebd32ec,8,9.909133
666f76b68b89442817be678a,8,12.658099
6672bf56d51710391ce2164d,8,38.625515
6672fea3fe6378e257b6ef25,8,21.866811
6679a3b7cb020a6e4728eac5,8,34.711484
66986ab71f2b54203f26ad32,8,14.931019
66b4f89242c0ff3aab8f8774,8,33.716285
66bb6b7e0ccbed81f3ed30a8,8,25.96628
6702f60844f21087e0840e3d,8,26.838424
6725030a6ee43d8130ceefc5,8,22.798106
6725c4a8e3ab0787551acf38,8,14.73693
67356f7cf6ff16fe3322a837,8,19.211113
673d0377254c407e5da57f97,8,32.155246
673f7365f63a4a3036aae1f2,8,18.183454
67430c9cce2366e644146584,8,37.048871
67450bce7a49cb1c784dcc2b,8,32.333348
676797a573d3cbf6add72f02,8,18.378934
67709b0a96dcc9c2a7b0a06e,8,18.009974
67acbb030811018b016dcaf7,8,42.375083
67bb91a04f5f96b7ac52242d,8,22.052687
67d01f812bf82a710cd2193f,8,16.698636
67d80b3db0cac8b1bd982fb2,8,29.564333
