PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",19,1756305543662,1756305543782,o,79, daily, physical-keyboard,16,1,0,1,120.0,73.0,89.0,292.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",20,1756305543864,1756305543954,n,78, daily, physical-keyboard,17,1,0,1,90.0,202.0,172.0,253.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",21,1756305544008,1756305544117, ,32, daily, physical-keyboard,18,1,0,0,109.0,144.0,163.0,485.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",22,1756305544384,1756305544493,r,82, daily, physical-keyboard,19,1,0,1,109.0,376.0,376.0,166.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",23,1756305544462,1756305544550,e,69, daily, physical-keyboard,20,1,0,1,88.0,78.0,57.0,169.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",24,1756305544548,1756305544631,m,77, daily, physical-keyboard,21,1,0,1,83.0,86.0,81.0,253.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",25,1756305544720,1756305544801,i,73, daily, physical-keyboard,22,1,0,1,81.0,172.0,170.0,243.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",26,1756305544879,1756305544963,n,78, daily, physical-keyboard,23,1,0,1,84.0,159.0,162.0,143.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",27,1756305544935,1756305545022,d,68, daily, physical-keyboard,24,1,0,1,87.0,56.0,59.0,201.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",28,1756305545017,1756305545136,e,69, daily, physical-keyboard,25,1,0,1,119.0,82.0,114.0,206.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",29,1756305545119,1756305545223,r,82, daily, physical-keyboard,26,1,0,1,104.0,102.0,87.0,182.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",30,1756305545220,1756305545301, ,32, daily, physical-keyboard,27,1,0,0,81.0,101.0,78.0,613.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",31,1756305545747,1756305545833,a,65, daily, physical-keyboard,28,0,0,1,86.0,527.0,532.0,287.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",32,1756305545957,1756305546034,b,66, daily, physical-keyboard,29,0,0,1,77.0,210.0,201.0,242.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",33,1756305546118,1756305546199,o,79, daily, physical-keyboard,30,0,0,1,81.0,161.0,165.0,271.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",34,1756305546304,1756305546389,u,85, daily, physical-keyboard,31,0,0,1,85.0,186.0,190.0,221.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",35,1756305546419,1756305546525,t,84, daily, physical-keyboard,32,0,0,1,106.0,115.0,136.0,838.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",36,1756305547118,1756305547257, ,32, daily, physical-keyboard,33,0,0,0,139.0,699.0,732.0,694.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",37,1756305547574,1756305547812,Shift,16, daily, physical-keyboard,34,1,0,1,238.0,456.0,555.0,220.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",38,1756305547704,1756305547794,Q,81, daily, physical-keyboard,34,1,0,1,90.0,130.0,,290.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",39,1756305547885,1756305547994,3,51, daily, physical-keyboard,35,1,0,1,109.0,181.0,200.0,740.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",40,1756305548495,1756305548625, ,32, daily, physical-keyboard,36,1,0,0,130.0,610.0,631.0,308.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",41,1756305548653,1756305548803,r,82, daily, physical-keyboard,37,0,0,1,150.0,158.0,178.0,184.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",42,1756305548730,1756305548837,e,69, daily, physical-keyboard,38,0,0,1,107.0,77.0,34.0,289.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",43,1756305548931,1756305549019,p,80, daily, physical-keyboard,39,0,0,1,88.0,201.0,182.0,452.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",44,1756305549292,1756305549383,o,79, daily, physical-keyboard,40,0,0,1,91.0,361.0,364.0,382.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",45,1756305549512,1756305549674,r,82, daily, physical-keyboard,41,0,0,1,162.0,220.0,291.0,235.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",46,1756305549613,1756305549747,t,84, daily, physical-keyboard,42,0,0,1,134.0,101.0,73.0,186.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",47,1756305549700,1756305549799, ,32, daily, physical-keyboard,43,0,0,0,99.0,87.0,52.0,281.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",48,1756305549878,1756305549981,w,87, daily, physical-keyboard,44,0,0,1,103.0,178.0,182.0,366.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",49,1756305550156,1756305550244,h,72, daily, physical-keyboard,45,0,0,1,88.0,278.0,263.0,264.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",50,1756305550342,1756305550420,i,73, daily, physical-keyboard,46,0,0,1,78.0,186.0,176.0,194.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",51,1756305550448,1756305550536,c,67, daily, physical-keyboard,47,0,0,1,88.0,106.0,116.0,149.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",52,1756305550523,1756305550597,h,72, daily, physical-keyboard,48,0,0,1,74.0,75.0,61.0,219.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",53,1756305550643,1756305550742, ,32, daily, physical-keyboard,49,0,0,0,99.0,120.0,145.0,156.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",54,1756305550738,1756305550799,n,78, daily, physical-keyboard,50,0,0,1,61.0,95.0,57.0,173.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",55,1756305550831,1756305550911,e,69, daily, physical-keyboard,51,0,0,1,80.0,93.0,112.0,271.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",56,1756305550985,1756305551102,e,69, daily, physical-keyboard,52,0,0,1,117.0,154.0,191.0,285.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",57,1756305551152,1756305551270,d,68, daily, physical-keyboard,53,0,0,1,118.0,167.0,168.0,327.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",58,1756305551358,1756305551479,e,69, daily, physical-keyboard,54,0,0,1,121.0,206.0,209.0,309.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",59,1756305551580,1756305551667,t,84, daily, physical-keyboard,55,0,0,1,87.0,222.0,188.0,517.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",60,1756305552041,1756305552097,Backspace,8, daily, physical-keyboard,55,0,0,1,56.0,461.0,430.0,146.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",61,1756305552115,1756305552187,d,68, daily, physical-keyboard,55,0,0,1,72.0,74.0,90.0,221.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",62,1756305552194,1756305552336, ,32, daily, physical-keyboard,56,0,0,0,142.0,79.0,149.0,325.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",63,1756305552448,1756305552519,t,84, daily, physical-keyboard,57,0,1,1,71.0,254.0,183.0,915.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",64,1756305553313,1756305553363,i,73, daily, physical-keyboard,58,0,1,1,50.0,865.0,844.0,899.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",65,1756305554148,1756305554212,l,76, daily, physical-keyboard,59,0,1,1,64.0,835.0,849.0,207.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",66,1756305554293,1756305554355,l,76, daily, physical-keyboard,60,0,1,1,62.0,145.0,143.0,226.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",67,1756305554387,1756305554519, ,32, daily, physical-keyboard,61,0,1,0,132.0,94.0,164.0,698.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",68,1756305554918,1756305555085,Shift,16, daily, physical-keyboard,62,1,1,1,167.0,531.0,566.0,136.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",69,1756305554994,1756305555054,F,70, daily, physical-keyboard,62,1,1,1,60.0,76.0,,285.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",70,1756305555176,1756305555279,r,82, daily, physical-keyboard,63,1,0,1,103.0,182.0,225.0,380.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",71,1756305555500,1756305555556,i,73, daily, physical-keyboard,64,1,0,1,56.0,324.0,277.0,227.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",72,1756305555630,1756305555727,d,68, daily, physical-keyboard,65,1,0,1,97.0,130.0,171.0,159.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",73,1756305555699,1756305555789,a,65, daily, physical-keyboard,66,1,0,1,90.0,69.0,62.0,281.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",74,1756305555877,1756305555980,y,89, daily, physical-keyboard,67,1,0,1,103.0,178.0,191.0,253.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",75,1756305556047,1756305556130, ,32, daily, physical-keyboard,68,1,0,0,83.0,170.0,150.0,245.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",76,1756305556268,1756305556292,n,78, daily, physical-keyboard,69,1,0,1,24.0,221.0,162.0,673.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",77,1756305556867,1756305556941,o,79, daily, physical-keyboard,70,1,0,1,74.0,599.0,649.0,227.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",78,1756305557018,1756305557094,o,79, daily, physical-keyboard,71,1,0,1,76.0,151.0,153.0,312.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",79,1756305557234,1756305557330,n,78, daily, physical-keyboard,72,1,0,1,96.0,216.0,236.0,156.0
6538097b8793d9b90adc4667,text-to-prompt,0,3,4,Write a submission reminder about Q3 report which needed till Friday noon.,"[8,27];[34,36];[62,73]","[57,62]",80,1756305557295,1756305557390,.,190, daily, physical-keyboard,73,1,0,1,95.0,61.0,60.0,
