PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR,CONFIDENT_MARKED_CHAR,UNCONFIDENT_MARKED_CHAR,WORD,D1U1,D1D2,U1U2,D1U2
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",0,1756297972740,1756297972822,Backspace,8, rarely, physical-keyboard,0,1,0,1,82.0,,,259.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",1,1756297972935,1756297972999,Backspace,8, rarely, physical-keyboard,0,1,0,1,64.0,195.0,177.0,341.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",2,1756297973185,1756297973276,CapsLock,20, rarely, physical-keyboard,-1,0,0,0,91.0,250.0,277.0,179.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",3,1756297973281,1756297973364,I,73, rarely, physical-keyboard,0,1,0,1,83.0,96.0,88.0,128.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",4,1756297973336,1756297973409,CapsLock,20, rarely, physical-keyboard,-1,0,0,0,73.0,55.0,45.0,662.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",5,1756297973935,1756297973998,Backspace,8, rarely, physical-keyboard,0,1,0,1,63.0,599.0,589.0,211.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",6,1756297974068,1756297974146,Backspace,8, rarely, physical-keyboard,0,1,0,1,78.0,133.0,148.0,358.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",7,1756297974358,1756297974426,a,65, rarely, physical-keyboard,0,1,0,1,68.0,290.0,280.0,543.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",8,1756297974829,1756297974901,Backspace,8, rarely, physical-keyboard,0,1,0,1,72.0,471.0,475.0,721.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",9,1756297975469,1756297975550,a,65, rarely, physical-keyboard,0,1,0,1,81.0,640.0,649.0,463.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",10,1756297975857,1756297975932,Backspace,8, rarely, physical-keyboard,0,1,0,1,75.0,388.0,382.0,603.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",11,1756297976392,1756297976460,a,65, rarely, physical-keyboard,0,1,0,1,68.0,535.0,528.0,411.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",12,1756297976732,1756297976803,Backspace,8, rarely, physical-keyboard,0,1,0,1,71.0,340.0,343.0,543.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",13,1756297977199,1756297977275,CapsLock,20, rarely, physical-keyboard,-1,0,0,0,76.0,467.0,472.0,480.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",14,1756297977607,1756297977679,Backspace,8, rarely, physical-keyboard,0,1,0,1,72.0,408.0,404.0,716.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",15,1756297978248,1756297978323,Backspace,8, rarely, physical-keyboard,0,1,0,1,75.0,641.0,644.0,434.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",16,1756297978601,1756297978682,I,73, rarely, physical-keyboard,0,1,0,1,81.0,353.0,359.0,248.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",17,1756297978775,1756297978849,CapsLock,20, rarely, physical-keyboard,-1,0,0,0,74.0,174.0,167.0,314.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",18,1756297979022,1756297979089, ,32, rarely, physical-keyboard,1,1,0,0,67.0,247.0,240.0,289.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",19,1756297979237,1756297979311,n,78, rarely, physical-keyboard,2,1,0,1,74.0,215.0,222.0,262.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",20,1756297979444,1756297979499,e,69, rarely, physical-keyboard,3,1,0,1,55.0,207.0,188.0,182.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",21,1756297979563,1756297979626,e,69, rarely, physical-keyboard,4,1,0,1,63.0,119.0,127.0,231.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",22,1756297979747,1756297979794,d,68, rarely, physical-keyboard,5,1,0,1,47.0,184.0,168.0,459.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",23,1756297980134,1756297980206, ,32, rarely, physical-keyboard,6,1,0,0,72.0,387.0,412.0,497.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",24,1756297980563,1756297980631,a,65, rarely, physical-keyboard,7,1,0,1,68.0,429.0,425.0,547.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",25,1756297981050,1756297981110,n,78, rarely, physical-keyboard,8,1,0,1,60.0,487.0,479.0,353.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",26,1756297981335,1756297981403, ,32, rarely, physical-keyboard,9,1,0,0,68.0,285.0,293.0,240.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",27,1756297981483,1756297981575,e,69, rarely, physical-keyboard,10,1,0,1,92.0,148.0,172.0,255.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",28,1756297981667,1756297981738,x,88, rarely, physical-keyboard,11,1,0,1,71.0,184.0,163.0,252.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",29,1756297981836,1756297981919,a,65, rarely, physical-keyboard,12,1,0,1,83.0,169.0,181.0,159.0
5fbfe145e52a44000a9c2966,text-to-prompt,0,0,7,"I need an example of a reminder email stating that all documents for the Q3 report are due by Friday at noon. And very importantly, these files must be uploaded to the shared folder.","[51,109];[132,182];[0,31];[38,50];[50,51]","[32,37];[110,131]",30,1756297981933,1756297981995,m,77, rarely, physical-keyboard,13,1,0,1,62.0,97.0,76.0,245.0
