filename,PARTICIPANT_ID,span_index,mean_dwell_bigram,mean_flight_bigram,mean_dwell_trigram,mean_flight_trigram
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,0,95.2,171.2,97.66666666666667,175.125
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,1,71.0,166.0,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,2,,,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,3,68.46666666666667,240.06666666666666,68.52380952380952,195.67857142857142
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,4,74.25,76.16666666666667,74.8,80.3
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,5,82.5,81.75,84.66666666666667,85.16666666666667
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,6,86.5,42.0,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,7,,,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,8,81.75,214.8,82.11111111111111,216.66666666666666
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,9,71.0,68.0,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,10,85.0,177.0,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,11,73.0,162.5,72.86666666666666,152.6
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,12,64.5,109.0,64.5,91.5
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,13,63.75,110.0,64.66666666666667,110.0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,14,65.1,382.8,65.91666666666667,438.125
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,15,70.5,77.0,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,16,68.66666666666667,436.0,68.66666666666667,537.75
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,17,79.7,109.2,80.33333333333333,109.875
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,18,64.5,178.0,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,19,54.375,299.25,52.77777777777778,366.1666666666667
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,20,68.83333333333333,71.33333333333333,68.83333333333334,72.0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,21,79.875,65.75,82.33333333333333,64.33333333333333
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,22,83.2,69.0,81.33333333333333,69.375
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,23,61.875,99.0,62.0,93.5
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,24,68.28571428571429,165.42857142857142,66.88888888888889,146.16666666666666
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,25,67.25,2109.25,67.44444444444444,1832.0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,26,59.25,57.5,61.88888888888889,69.66666666666667
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,27,69.9,119.6,68.25,130.125
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,28,55.5,101.0,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,29,73.33333333333333,70.66666666666667,73.33333333333333,63.25
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,30,67.5,90.0,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,31,67.25,83.75,66.66666666666666,87.33333333333333
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,32,80.0,39.0,80.0,30.0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,33,63.25,64.5,62.0,64.5
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,34,67.3,134.6,67.41666666666667,150.75
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,35,,,,
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,36,77.86111111111111,199.05555555555554,76.82352941176471,206.52941176470588
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,37,87.5,125.0,87.5,129.25
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,38,73.75,27.5,75.66666666666667,27.5
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,39,72.25,92.0,77.33333333333333,92.0
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,40,58.25,68.5,57.44444444444445,65.83333333333333
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,41,70.83333333333333,71.33333333333333,70.83333333333333,64.5
experiment_5962a9280b835400010a7617_20250819171658.csv,5962a9280b835400010a7617,42,,,,
