PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",28,1757005795687,1757005795778,o,79, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",29,1757005795833,1757005795924,f,70, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",30,1757005796239,1757005796294,Backspace,8, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",31,1757005796376,1757005796467,Backspace,8, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",32,1757005796527,1757005796664,a,65, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",33,1757005797006,1757005797147,b,66, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",34,1757005797097,1757005797234,o,79, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",35,1757005797175,1757005797279,u,85, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",36,1757005797266,1757005797352,t,84, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",37,1757005797394,1757005797462, ,32, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",38,1757005797485,1757005797548,t,84, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",39,1757005797531,1757005797640,h,72, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",40,1757005797695,1757005797791,e,69, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",41,1757005797695,1757005797791, ,32, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",42,1757005797928,1757005798070,Shift,16, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",43,1757005798038,1757005798129,R,82, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",44,1757005798129,1757005798216,o,79, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",45,1757005798216,1757005798325,m,77, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",46,1757005798338,1757005798430,a,65, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",47,1757005798421,1757005798513,n,78, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",48,1757005798539,1757005798617, ,32, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",49,1757005798654,1757005798776,Shift,16, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",50,1757005798768,1757005798836,E,69, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",51,1757005798814,1757005798946,m,77, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",52,1757005798919,1757005799059,p,80, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",53,1757005799019,1757005799133,i,73, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",54,1757005799046,1757005799173,r,82, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",55,1757005799147,1757005799256,e,69, monthly, physical-keyboard
5883a935c0c9a10001df6345,prompt-to-text,0,0,3,I need a text with details about the Roman Empire.,"[37,49];[19,26]","[9,13]",56,1757005799238,1757005799357,.,190, monthly, physical-keyboard
