PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",12,1757011481294,1757011481437,m,77, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",13,1757011481453,1757011481573,a,65, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",14,1757011481534,1757011481629,n,78, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",15,1757011481661,1757011481789, ,32, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",16,1757011481902,1757011482045,a,65, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",17,1757011481990,1757011482157,n,78, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",18,1757011482285,1757011482365,d,68, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",19,1757011482438,1757011482534, ,32, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",20,1757011482717,1757011482861,a,65, rarely, physical-keyboard
647869e6f69318bacc341d53,image-to-prompt,0,3,2,A man and a woman with their backs to is in a modern office.  Both sat in front of a computer on grey and gold office chairs with casters. Two large windows in front of them.  An angle poise lack to the left of the man and to the right of the woman. Cream walls. pen pots and a plant on desk. woman has long black hair and man has short red hair,"[1,5];[12,17];[140,155];[250,261]","[278,283];[179,196];[46,59];[130,138]",21,1757011482822,1757011482941, ,32, rarely, physical-keyboard
